trade date	scheme	security	isin	secname	deal id	trade type	units	price iso	txn net	txn gross	settle date
20251103	780	010207501	INE237A01028	EQ - KOTAK MAHINDRA BANK LTD.	CF2500117790005103	SELL	75	INR	2113.732	2111.1956	20251104
20251103	780	010213601	INE238A01034	EQ - AXIS BANK LTD.	CF2500117790005104	SELL	128	INR	1233.6023	1232.121987	20251104
20251103	780	010214201	INE171A01029	EQ - FEDERAL BANK LTD.	CF2500117790005105	SELL	159	INR	237.8947	237.609291	20251104
20251103	780	010216601	INE040A01034	EQ - HDFC BANK LIMITED	CF2500117790005106	SELL	170	INR	993.0341	991.842512	20251104
20251103	780	012001901	INE095A01012	EQ - INDUSIND BANK	CF2500117790005107	SELL	43	INR	796.9023	795.946021	20251104
20251103	780	012002901	INE090A01021	EQ - ICICI BANK LTD	CF2500117790005108	SELL	117	INR	1346.9436	1345.327275	20251104
20251103	780	012051601	INE528G01035	EQ - YES BANK LTD.	CF2500117790005109	SELL	1279	INR	22.9575	22.930002	20251104
20251103	780	012119301	INE976G01028	EQ - RBL BANK LTD	CF2500117790005110	SELL	39	INR	328.4474	328.053297	20251104
20251103	780	012131101	INE092T01019	EQ - IDFC FIRST BANK LTD	CF2500117790005111	SELL	429	INR	81.9811	81.882802	20251104
20251103	780	012144201	INE545U01014	EQ - BANDHAN BANK LTD.	CF2500117790005112	SELL	56	INR	157.9771	157.787636	20251104
20251103	782	010100901	INE139A01034	EQ - NATIONAL ALUMINIUM CO. LTD.	CF2500117810051887	BUY	26	INR	238.5431	238.829254	20251104
20251103	782	010200601	INE672A01026	EQ - TATA INVESTMENT CORPORATION LT	CF2500117810051888	BUY	4	INR	797.325	798.2825	20251104
20251103	782	010201101	INE562A01011	EQ - INDIAN BANK	CF2500117810051889	BUY	10	INR	880.405	881.461	20251104
20251103	782	010201201	INE691A01018	EQ - UCO BANK	CF2500117810051890	BUY	32	INR	33.6313	33.671613	20251104
20251103	782	010201801	INE008A01015	EQ - IDBI BANK LTD.	CF2500117810051891	BUY	16	INR	101.4656	101.587475	20251104
20251103	782	010204201	INE084A01016	EQ - BANK OF INDIA	CF2500117810051892	BUY	34	INR	142.1347	142.305288	20251104
20251103	782	010207401	INE115A01026	EQ - LIC HOUSING FINANCE LTD.	CF2500117810051893	BUY	9	INR	576.25	576.941111	20251104
20251103	782	010212501	INE660A01013	EQ - SUNDARAM FINANCE LTD.	CF2500117810051894	BUY	2	INR	4689.1	4694.725	20251104
20251103	782	010214201	INE171A01029	EQ - FEDERAL BANK LTD.	CF2500117810051895	BUY	70	INR	237.9441	238.229529	20251104
20251103	782	010219601	INE093A01041	EQ - HEXAWARE TECHNOLOGIES LTD.	CF2500117810051896	BUY	4	INR	692.6375	693.4675	20251104
20251103	782	010300201	INE012A01025	EQ - ACC LTD	CF2500117810051897	BUY	2	INR	1866.2	1868.44	20251104
20251103	782	010420201	INE169A01031	EQ - COROMANDEL INTERNATIONAL LTD.	CF2500117810051898	BUY	3	INR	2160.1667	2162.760033	20251104
20251103	782	010423201	INE603J01030	EQ - P I INDUSTRIES LTD	CF2500117810051899	BUY	2	INR	3692.65	3697.08	20251104
20251103	782	010423401	INE326A01037	EQ - LUPIN LTD.	CF2500117810051900	BUY	7	INR	1990.3857	1992.774271	20251104
20251103	782	010440501	INE159A01016	EQ - GLAXOSMITHKLINE PHARMACEUTICA	CF2500117810051901	BUY	2	INR	2687	2690.225	20251104
20251103	782	010443301	INE016A01026	EQ - DABUR INDIA LTD.	CF2500117810051902	BUY	17	INR	503.3882	503.992318	20251104
20251103	782	010446001	INE571A01038	EQ - IPCA LABORATORIES LTD.	CF2500117810051903	BUY	4	INR	1307.9	1309.47	20251104
