valuation date,portfolio code,portfolio name,asset name,issuer,security,isin no,secname,quantity,market price,cost price,mktval,per,nav
20251031,193,UTI Value Fund,Equity Shares,Jk Paper Ltd.,010902501,INE789E01012,EQ - JK PAPER LTD.,"2,200,000",397.3,303.5849781818,"874,060,000",0.87,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Jsw Infrastructure Limited,012170401,INE880J01026,EQ-JSW INFRASTRUCTURE LIMITED,"2,609,113",289.85,147.0319281802,"756,251,403.05",0.75,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Kajaria Ceramics Ltd.,010702301,INE217B01036,EQ - KAJARIA CERAMICS LTD.,"990,000","1,207.6",867.2864295859,"1,195,524,000",1.19,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Kotak Mahindra Bank Ltd.,010207501,INE237A01028,EQ - KOTAK MAHINDRA BANK LTD.,"1,850,000","2,102.2","1,770.3931273946","3,889,070,000",3.87,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Mahanagar Gas Ltd.,012135101,INE002S01010,EQ - MAHANAGAR GAS LTD.,"799,175","1,276.9","1,211.3576616636","1,020,466,557.5",1.01,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Mahindra & Mahindra Ltd.,011800801,INE101A01026,EQ - MAHINDRA & MAHINDRA LTD.,"845,355","3,487.2","1,798.6386096137","2,947,921,956",2.93,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Mahindra And Mahindra Financial Services Ltd,012016801,INE774D01024,EQ - MAHINDRA & MAHINDRA FINANCIAL,"5,200,000",315.55,266.2335537135,"1,640,860,000",1.63,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Maruti Suzuki India Ltd.,012043501,INE585B01010,EQ - MARUTI SUZUKI INDIA LTD.,"110,000","16,186","11,516.4480238182","1,780,460,000",1.77,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Metropolis Healthcare Ltd,012151801,INE112L01020,EQ - METROPOLIS HEALTHCARE LTD,"520,000","1,970.4","1,457.1735369423","1,024,608,000",1.02,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Mphasis Ltd,012009901,INE356A01018,EQ - MPHASIS LTD,"600,000","2,764.4","2,164.9469474667","1,658,640,000",1.65,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Orchid Pharma Ltd.,010424201,INE191A01027,EQ - ORCHID PHARMA LTD.,"745,230",726.3,665.8779315379,"541,260,549",0.54,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,P I Industries Ltd.,010423201,INE603J01030,EQ - P I INDUSTRIES LTD,"250,000","3,577.4","3,317.18611132","894,350,000",0.89,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Phoenix Mills Ltd,012087701,INE211B01039,EQ - PHOENIX MILLS LTD,"900,000","1,682.6",471.9881788222,"1,514,340,000",1.51,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Pnc Infratech Ltd,012131001,INE195J01029,EQ - PNC INFRATECH LTD,"3,248,559",280.45,391.4796324463,"911,058,371.55",0.91,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Power Grid Corporation Of India Ltd,010503801,INE752E01010,EQ - POWER GRID CORPORATION OF INDI,"5,782,012",288.15,289.1137355993,"1,666,086,757.8",1.66,"100,578,077,336.98"
